frame,tempo_s,x_px,y_px
0,0.0,1181,800
1,0.016666666666666666,1187,799
2,0.03333333333333333,1192,799
3,0.05,1196,798
4,0.06666666666666667,1199,797
5,0.08333333333333333,1202,797
6,0.1,1203,797
7,0.11666666666666667,1204,797
8,0.13333333333333333,1204,797
9,0.15,1203,797
10,0.16666666666666666,1201,797
11,0.18333333333333332,1198,798
12,0.2,1194,799
13,0.21666666666666667,1190,800
14,0.23333333333333334,1184,800
15,0.25,1178,801
16,0.26666666666666666,1171,803
17,0.2833333333333333,1163,804
18,0.3,1155,805
19,0.31666666666666665,1146,806
20,0.3333333333333333,1136,808
21,0.35,1126,809
22,0.36666666666666664,1115,810
23,0.38333333333333336,1104,811
24,0.4,1092,812
25,0.4166666666666667,1080,812
26,0.43333333333333335,1068,813
27,0.45,1056,813
28,0.4666666666666667,1043,813
29,0.48333333333333334,1031,813
30,0.5,1018,813
31,0.5166666666666667,1006,813
32,0.5333333333333333,993,812
33,0.55,981,812
34,0.5666666666666667,969,811
35,0.5833333333333334,957,810
36,0.6,945,809
37,0.6166666666666667,935,808
38,0.6333333333333333,924,807
39,0.65,914,806
40,0.6666666666666666,904,804
41,0.6833333333333333,895,803
42,0.7,887,801
43,0.7166666666666667,880,800
44,0.7333333333333333,873,799
45,0.75,867,798
46,0.7666666666666667,861,796
47,0.7833333333333333,857,795
48,0.8,853,795
49,0.8166666666666667,850,794
50,0.8333333333333334,848,793
51,0.85,846,793
52,0.8666666666666667,846,793
53,0.8833333333333333,846,793
54,0.9,847,794
55,0.9166666666666666,849,794
56,0.9333333333333333,852,794
57,0.95,856,795
58,0.9666666666666667,860,796
59,0.9833333333333333,866,797
60,1.0,872,798
61,1.0166666666666666,878,799
62,1.0333333333333334,886,800
63,1.05,894,801
64,1.0666666666666667,903,803
65,1.0833333333333333,912,804
66,1.1,922,805
67,1.1166666666666667,933,807
68,1.1333333333333333,943,808
69,1.15,955,809
70,1.1666666666666667,966,810
71,1.1833333333333333,978,810
72,1.2,990,811
73,1.2166666666666666,1003,811
74,1.2333333333333334,1015,812
75,1.25,1027,812
76,1.2666666666666666,1040,812
77,1.2833333333333334,1052,812
78,1.3,1064,812
79,1.3166666666666667,1076,811
80,1.3333333333333333,1088,811
81,1.35,1100,810
82,1.3666666666666667,1111,809
83,1.3833333333333333,1122,808
84,1.4,1132,808
85,1.4166666666666667,1141,807
86,1.4333333333333333,1151,805
87,1.45,1159,804
88,1.4666666666666666,1167,803
89,1.4833333333333334,1174,802
90,1.5,1180,801
91,1.5166666666666666,1186,801
92,1.5333333333333334,1191,800
93,1.55,1195,799
94,1.5666666666666667,1198,799
95,1.5833333333333333,1200,798
96,1.6,1202,798
97,1.6166666666666667,1202,798
98,1.6333333333333333,1202,798
99,1.65,1201,799
100,1.6666666666666667,1199,799
101,1.6833333333333333,1196,800
102,1.7,1192,800
103,1.7166666666666666,1188,801
104,1.7333333333333334,1182,802
105,1.75,1176,803
106,1.7666666666666666,1169,804
107,1.7833333333333334,1162,805
108,1.8,1153,807
109,1.8166666666666667,1144,808
110,1.8333333333333333,1135,809
111,1.85,1125,810
112,1.8666666666666667,1114,811
113,1.8833333333333333,1103,812
114,1.9,1092,813
115,1.9166666666666667,1080,813
116,1.9333333333333333,1068,814
117,1.95,1056,814
118,1.9666666666666666,1044,814
119,1.9833333333333334,1032,814
120,2.0,1019,814
121,2.0166666666666666,1007,814
122,2.033333333333333,995,813
123,2.05,982,813
124,2.066666666666667,971,812
125,2.0833333333333335,959,811
126,2.1,948,810
127,2.1166666666666667,937,809
128,2.1333333333333333,926,807
129,2.15,917,806
130,2.1666666666666665,907,805
131,2.183333333333333,898,803
132,2.2,890,802
133,2.216666666666667,883,801
134,2.2333333333333334,876,800
135,2.25,870,798
136,2.2666666666666666,864,797
137,2.283333333333333,860,796
138,2.3,856,796
139,2.316666666666667,853,795
140,2.3333333333333335,851,794
141,2.35,849,794
142,2.3666666666666667,849,794
143,2.3833333333333333,849,794
144,2.4,850,794
145,2.4166666666666665,852,794
146,2.433333333333333,855,795
147,2.45,859,795
148,2.466666666666667,863,796
149,2.4833333333333334,868,797
150,2.5,874,798
151,2.5166666666666666,881,799
152,2.533333333333333,888,800
153,2.55,896,802
154,2.566666666666667,905,803
155,2.5833333333333335,914,804
156,2.6,924,805
157,2.6166666666666667,934,807
158,2.6333333333333333,944,808
159,2.65,955,809
160,2.6666666666666665,966,809
161,2.683333333333333,978,810
162,2.7,990,811
163,2.716666666666667,1002,812
164,2.7333333333333334,1014,812
165,2.75,1027,812
166,2.7666666666666666,1039,812
167,2.783333333333333,1051,812
168,2.8,1063,812
169,2.816666666666667,1075,811
170,2.8333333333333335,1087,811
171,2.85,1098,810
172,2.8666666666666667,1109,809
173,2.8833333333333333,1120,809
174,2.9,1130,808
175,2.9166666666666665,1139,807
176,2.933333333333333,1148,806
177,2.95,1157,805
178,2.966666666666667,1164,803
179,2.9833333333333334,1171,803
180,3.0,1178,802
181,3.0166666666666666,1183,801
182,3.033333333333333,1188,800
183,3.05,1192,800
184,3.066666666666667,1195,799
185,3.0833333333333335,1198,799
186,3.1,1199,799
187,3.1166666666666667,1200,799
188,3.1333333333333333,1199,799
189,3.15,1198,799
190,3.1666666666666665,1196,799
191,3.183333333333333,1194,800
192,3.2,1190,801
193,3.216666666666667,1186,802
194,3.2333333333333334,1181,803
195,3.25,1175,804
196,3.2666666666666666,1168,805
197,3.283333333333333,1161,806
198,3.3,1153,807
199,3.316666666666667,1144,808
200,3.3333333333333335,1134,809
201,3.35,1125,810
202,3.3666666666666667,1114,811
